cm 						rcp85	 rcp45	 rcp26
 Coast	Site	SiteID	lat	long	year	rcp85_50.0	rcp45_50.0	rcp26_50.0
Global	Global	0	NaN	NaN	2100	 79	 59	 50
Hawaii	HONOLULU	155	21.31	-157.87	2100	 87	 65	 55
Hawaii	HILO	300	19.73	-155.06	2100	 97	 75	 65
Hawaii	KAHULUI HARBOR	521	20.89	-156.48	2100	 91	 69	 60
Hawaii	MIDWAY ISLAND	523	28.21	-177.36	2100	 91	 68	 56
Hawaii	JOHNSTON ISLAND	598	16.74	-169.53	2100	 87	 65	 54
Hawaii	NAWILIWILI BAY	756	21.95	-159.35	2100	 85	 63	 53
Hawaii	MOKUOLOE ISLAND	823	21.43	-157.79	2100	 86	 64	 55
Hawaii	FRENCH FRIGATE SHOALS	1372	23.87	-166.28	2100	 86	 63	 54
Hawaii	KAWAIHAE	2128	20.04	-155.83	2100	 95	 74	 64
Aleutian Islands	DUTCH HARBOR	390	53.90	-166.53	2100	 4	 -11	 -18
Aleutian Islands	ADAK  SWEEPER COVE	487	51.86	-176.63	2100	 37	 20	 13
Aleutian Islands	MASSACRE BAY	491	52.83	173.20	2100	 62	 46	 40
Aleutian Islands	UNALASKA	757	53.88	-166.54	2100	 4	 -11	 -18
Alaska	KETCHIKAN	225	55.33	-131.62	2100	 41	 27	 22
Alaska	SEWARD	266	60.12	-149.43	2100	 -7	 -12	 -16
Alaska	JUNEAU	405	58.30	-134.41	2100	 -92	 -104	 -110
Alaska	SITKA	426	57.05	-135.34	2100	 20	 7	 1
Alaska	YAKUTAT	445	59.55	-139.73	2100	 -39	 -50	 -56
Alaska	SKAGWAY	495	59.45	-135.33	2100	 -138	 -150	 -155
Alaska	CORDOVA	566	60.56	-145.75	2100	 70	 64	 59
Alaska	KODIAK ISLAND	567	57.73	-152.51	2100	 -41	 -53	 -59
Alaska	ANCHORAGE	1067	61.24	-149.89	2100	 8	 15	 14
Alaska	SELDOVIA	1070	59.44	-151.72	2100	 -65	 -73	 -78
Alaska	NIKISKI	1350	60.68	-151.40	2100	 -102	 -102	 -105
Alaska	VALDEZ	1353	61.12	-146.36	2100	 -5	 -9	 -13
Alaska	SAND POINT	1634	55.34	-160.50	2100	 61	 46	 39
Alaska	NOME	1800	64.50	-165.43	2100	 61	 48	 38
Alaska	PRUDHOE BAY	1857	70.40	-148.53	2100	 104	 87	 77
Pacific Canada	TOFINO	165	49.15	-125.92	2100	 30	 16	 10
Pacific Canada	VICTORIA	166	48.42	-123.37	2100	 52	 38	 32
Pacific Canada	PRINCE RUPERT	167	54.32	-130.33	2100	 55	 42	 36
Pacific Canada	VANCOUVER	175	49.28	-123.12	2100	 46	 33	 26
Pacific Canada	POINT ATKINSON	193	49.33	-123.25	2100	 51	 38	 31
Pacific Canada	PORT ALBERNI	527	49.23	-124.82	2100	 34	 20	 14
Pacific Canada	ALERT BAY	554	50.58	-126.95	2100	 24	 11	 5
Pacific Canada	FULFORD HARBOUR	688	48.77	-123.45	2100	 49	 35	 29
Pacific Canada	QUEEN CHARLOTTE CITY	829	53.25	-132.07	2100	 41	 27	 21
Pacific Canada	PORT RENFREW	842	48.55	-124.42	2100	 62	 48	 41
Pacific Canada	SOOKE	921	48.37	-123.73	2100	 51	 37	 31
Pacific Canada	BELLA BELLA	984	52.17	-128.13	2100	 38	 25	 19
Pacific Canada	PORT HARDY	1071	50.72	-127.48	2100	 35	 21	 15
Pacific Canada	PATRICIA BAY	1152	48.65	-123.45	2100	 47	 33	 27
Pacific Canada	BAMFIELD	1242	48.85	-125.13	2100	 47	 33	 27
Pacific Canada	NEW  WESTMINSTER	1245	49.20	-122.92	2100	 33	 20	 14
Pacific Canada	STEVESTON	1255	49.12	-123.18	2100	 54	 41	 35
Pacific Canada	CAMPBELL RIVER	1323	50.02	-125.23	2100	 18	 6	 0
Pacific Canada	WINTER HARBOUR	1799	50.52	-128.03	2100	 47	 33	 26
Pacific US	SAN FRANCISCO	10	37.81	-122.47	2100	 75	 58	 50
Pacific US	SEATTLE	127	47.60	-122.34	2100	 69	 55	 48
Pacific US	SAN DIEGO	158	32.71	-117.17	2100	 79	 61	 53
Pacific US	LOS ANGELES	245	33.72	-118.27	2100	 67	 49	 40
Pacific US	LA JOLLA	256	32.87	-117.26	2100	 79	 61	 52
Pacific US	ASTORIA	265	46.21	-123.77	2100	 48	 33	 26
Pacific US	SANTA MONICA	377	34.01	-118.50	2100	 72	 54	 45
Pacific US	CRESCENT CITY	378	41.74	-124.18	2100	 47	 31	 23
Pacific US	FRIDAY HARBOR	384	48.55	-123.01	2100	 55	 41	 34
Pacific US	NEAH BAY	385	48.37	-124.61	2100	 30	 15	 8
Pacific US	ALAMEDA	437	37.77	-122.30	2100	 65	 48	 40
Pacific US	PORT SAN LUIS	508	35.18	-120.76	2100	 65	 47	 39
Pacific US	ALAMITOS BAY ENTRANCE	717	33.75	-118.12	2100	 73	 55	 47
Pacific US	NEWPORT BAY	766	33.60	-117.88	2100	 76	 58	 50
Pacific US	RINCON ISLAND	1013	34.35	-119.44	2100	 84	 66	 58
Pacific US	SOUTH BEACH	1196	44.62	-124.04	2100	 74	 59	 52
Pacific US	CHARLESTON II	1269	43.34	-124.32	2100	 61	 45	 38
Pacific US	PORT TOWNSEND	1325	48.11	-122.76	2100	 64	 50	 43
Pacific US	MONTEREY	1352	36.60	-121.89	2100	 70	 52	 44
Pacific US	TOKE POINT	1354	46.71	-123.97	2100	 58	 43	 36
Pacific US	POINT REYES	1394	37.99	-122.98	2100	 75	 57	 49
Pacific US	CHERRY POINT	1633	48.86	-122.76	2100	 41	 28	 21
Pacific US	N. SPIT	1639	40.77	-124.22	2100	 90	 74	 67
Pacific US	PORT ORFORD	1640	42.74	-124.50	2100	 62	 46	 39
Pacific US	ARENA COVE	2125	38.91	-123.71	2100	 64	 47	 39
Pacific US	SANTA BARBARA	2126	34.41	-119.69	2100	 62	 44	 36
Pacific US	PORT ANGELES	2127	48.12	-123.44	2100	 49	 34	 28
Gulf of Mexico US	GALVESTON II	161	29.31	-94.79	2100	 123	 105	 95
Gulf of Mexico US	KEY WEST	188	24.55	-81.81	2100	 84	 65	 55
Gulf of Mexico US	CEDAR KEY I	199	29.13	-83.03	2100	 79	 60	 50
Gulf of Mexico US	PENSACOLA	246	30.40	-87.21	2100	 79	 61	 51
Gulf of Mexico US	CEDAR KEY II	428	29.14	-83.03	2100	 79	 60	 50
Gulf of Mexico US	EUGENE ISLAND	440	29.37	-91.39	2100	 158	 140	 130
Gulf of Mexico US	PORT ISABEL	497	26.06	-97.22	2100	 99	 80	 70
Gulf of Mexico US	ST. PETERSBURG	520	27.76	-82.63	2100	 88	 68	 59
Gulf of Mexico US	GRAND ISLE	526	29.26	-89.96	2100	 149	 131	 121
Gulf of Mexico US	ROCKPORT	538	28.02	-97.05	2100	 115	 96	 86
Gulf of Mexico US	FREEPORT	725	28.95	-95.31	2100	 137	 118	 108
Gulf of Mexico US	GALVESTON I	828	29.29	-94.79	2100	 124	 105	 95
Gulf of Mexico US	PADRE ISLAND	919	26.07	-97.15	2100	 100	 81	 71
Gulf of Mexico US	SABINE PASS	920	29.70	-93.85	2100	 112	 93	 84
Gulf of Mexico US	PORT MANSFIELD	1038	26.55	-97.42	2100	 94	 74	 65
Gulf of Mexico US	FORT MYERS	1106	26.65	-81.87	2100	 84	 64	 55
Gulf of Mexico US	NAPLES	1107	26.13	-81.81	2100	 82	 63	 53
Gulf of Mexico US	DAUPHIN ISLAND	1156	30.25	-88.08	2100	 92	 74	 64
Gulf of Mexico US	APALACHICOLA	1193	29.73	-84.98	2100	 78	 59	 49
Gulf of Mexico US	KEY COLONY BEACH	1424	24.72	-81.02	2100	 86	 67	 57
Gulf of Mexico US	CLEARWATER BEACH	1638	27.98	-82.83	2100	 87	 68	 58
Gulf of Mexico US	PANAMA CITY	1641	30.15	-85.67	2100	 77	 58	 48
Gulf of Mexico US	VACA KEY	1701	24.71	-81.11	2100	 85	 66	 57
Gulf of Mexico US	SABINE PASS NORTH	1835	29.73	-93.87	2100	 111	 93	 83
Gulf of Mexico US	CORPUS CHRISTI	1903	27.58	-97.22	2100	 105	 86	 77
Atlantic US	NEW YORK	12	40.70	-74.01	2100	 96	 75	 62
Atlantic US	FERNANDINA BEACH	112	30.67	-81.47	2100	 82	 64	 54
Atlantic US	PHILADELPHIA	135	39.93	-75.14	2100	 93	 74	 62
Atlantic US	BALTIMORE	148	39.27	-76.58	2100	 94	 75	 63
Atlantic US	ATLANTIC CITY	180	39.35	-74.42	2100	 104	 84	 71
Atlantic US	PORTLAND 	183	43.66	-70.25	2100	 83	 62	 49
Atlantic US	LEWES	224	38.78	-75.12	2100	 99	 79	 66
Atlantic US	CHARLESTON I	234	32.78	-79.92	2100	 89	 71	 61
Atlantic US	BOSTON	235	42.35	-71.05	2100	 91	 70	 57
Atlantic US	DAYTONA BEACH	270	29.23	-81.00	2100	 78	 59	 49
Atlantic US	SEAVEY ISLAND	288	43.08	-70.74	2100	 80	 59	 46
Atlantic US	SEWELLS POINT	299	36.95	-76.33	2100	 105	 86	 74
Atlantic US	ANNAPOLIS	311	38.98	-76.48	2100	 97	 77	 65
Atlantic US	MAYPORT	316	30.39	-81.43	2100	 83	 64	 54
Atlantic US	EASTPORT	332	44.90	-66.98	2100	 85	 64	 51
Atlantic US	NEWPORT	351	41.51	-71.33	2100	 93	 72	 59
Atlantic US	WASHINGTON DC	360	38.87	-77.02	2100	 93	 74	 62
Atlantic US	WILLETS POINT	362	40.79	-73.78	2100	 92	 72	 59
Atlantic US	MIAMI BEACH	363	25.77	-80.13	2100	 84	 64	 54
Atlantic US	SANDY HOOK	366	40.47	-74.01	2100	 104	 83	 70
Atlantic US	WOODS HOLE	367	41.52	-70.67	2100	 94	 73	 60
Atlantic US	FORT PULASKI	395	32.03	-80.90	2100	 90	 72	 61
Atlantic US	WILMINGTON	396	34.23	-77.95	2100	 82	 64	 54
Atlantic US	PORTSMOUTH	399	36.82	-76.29	2100	 103	 84	 72
Atlantic US	SOLOMON'S ISLAND	412	38.32	-76.45	2100	 99	 79	 68
Atlantic US	NEW LONDON	429	41.36	-72.09	2100	 93	 71	 58
Atlantic US	PROVIDENCE	430	41.81	-71.40	2100	 90	 68	 55
Atlantic US	RICHMOND	462	37.57	-77.45	2100	 91	 72	 61
Atlantic US	MONTAUK	519	41.05	-71.96	2100	 96	 75	 62
Atlantic US	BAR HARBOR	525	44.39	-68.20	2100	 88	 66	 54
Atlantic US	GLOUCESTER POINT	597	37.25	-76.50	2100	 101	 81	 69
Atlantic US	KIPTOPEKE BEACH	636	37.16	-75.99	2100	 98	 79	 67
Atlantic US	JACKSONVILLE	716	30.35	-81.62	2100	 82	 64	 54
Atlantic US	SANDWICH MARINA	775	41.77	-70.50	2100	 93	 71	 58
Atlantic US	BUZZARDS BAY	776	41.74	-70.62	2100	 93	 71	 58
Atlantic US	REEDY POINT	786	39.56	-75.57	2100	 95	 75	 63
Atlantic US	PORT JEFFERSON	848	40.95	-73.08	2100	 96	 75	 62
Atlantic US	NEW ROCHELLE	856	40.89	-73.78	2100	 92	 71	 58
Atlantic US	MYRTLE BEACH	862	33.68	-78.89	2100	 85	 67	 56
Atlantic US	BRIDGEPORT	1068	41.17	-73.18	2100	 92	 71	 58
Atlantic US	CUTLER	1081	44.65	-67.22	2100	 87	 66	 53
Atlantic US	NANTUCKET ISLAND	1111	41.28	-70.10	2100	 98	 76	 63
Atlantic US	CAPE MAY	1153	38.97	-74.96	2100	 101	 81	 68
Atlantic US	DAYTONA BEACH SHORES	1182	29.15	-80.96	2100	 78	 59	 49
Atlantic US	ROCKLAND	1279	44.10	-69.10	2100	 84	 63	 50
Atlantic US	CAMBRIDGE II	1295	38.57	-76.07	2100	 98	 78	 66
Atlantic US	SPRINGMAID PIER	1444	33.66	-78.92	2100	 85	 67	 56
Atlantic US	CUTLER II	1524	44.64	-67.30	2100	 87	 66	 53
Atlantic US	CHESAPEAKE BAY BR. TUN.	1635	36.97	-76.11	2100	 102	 83	 71
Atlantic US	DUCK PIER OUTSIDE	1636	36.18	-75.75	2100	 100	 81	 70
Atlantic US	BERGEN POINT	1637	40.64	-74.14	2100	 98	 77	 64
Atlantic US	VIRGINIA KEY	1858	25.73	-80.16	2100	 84	 64	 54
Atlantic US	TRIDENT PIER	2123	28.41	-80.59	2100	 80	 61	 50
Atlantic Canada	HALIFAX	96	44.67	-63.58	2100	 96	 75	 61
Atlantic Canada	TROIS-RIVIERES	126	46.33	-72.55	2100	 55	 40	 29
Atlantic Canada	POINTE-AU-PERE	138	48.52	-68.47	2100	 57	 38	 26
Atlantic Canada	BATISCAN	144	46.50	-72.25	2100	 54	 40	 28
Atlantic Canada	QUEBEC	173	46.83	-71.17	2100	 48	 29	 18
Atlantic Canada	HARRINGTON HBR	176	50.50	-59.48	2100	 43	 25	 14
Atlantic Canada	NEUVILLE	192	46.70	-71.57	2100	 45	 26	 15
Atlantic Canada	SAINT JOHN	195	45.27	-66.07	2100	 90	 70	 57
Atlantic Canada	CAP A LA ROCHE	201	46.57	-72.10	2100	 48	 32	 22
Atlantic Canada	GRONDINES	387	46.58	-72.03	2100	 58	 41	 31
Atlantic Canada	PORT-AUX-BASQUES	392	47.57	-59.13	2100	 87	 68	 56
Atlantic Canada	ST. JOHN'S	393	47.57	-52.72	2100	 78	 59	 47
Atlantic Canada	CHARLOTTETOWN	427	46.23	-63.12	2100	 93	 73	 60
Atlantic Canada	CHURCHILL	447	58.77	-94.18	2100	 -48	 -66	 -75
Atlantic Canada	RESOLUTE	863	74.68	-94.88	2100	 1	 -0	 -9
Atlantic Canada	PORTNEUF	951	46.68	-71.88	2100	 44	 25	 14
Atlantic Canada	ST-FRANCOIS	999	47.00	-70.82	2100	 53	 34	 23
Atlantic Canada	TUKTOYAKTUK	1000	69.42	-132.97	2100	 74	 57	 48
Atlantic Canada	CHAMPLAIN	1005	46.43	-72.40	2100	 67	 62	 41
Atlantic Canada	LARK HARBOUR	1044	49.10	-58.37	2100	 68	 49	 37
Atlantic Canada	PICTOU	1121	45.68	-62.70	2100	 95	 75	 62
Atlantic Canada	YARMOUTH	1158	43.83	-66.13	2100	 99	 78	 65
Atlantic Canada	STE-ANNE-DES-MONTS	1199	49.13	-66.48	2100	 62	 42	 30
Atlantic Canada	RIVIERE-AU-RENARD	1213	49.00	-64.38	2100	 62	 43	 31
Atlantic Canada	BAIE COMEAU	1218	49.23	-68.13	2100	 52	 34	 22
Atlantic Canada	TADOUSSAC	1219	48.13	-69.72	2100	 55	 37	 25
Atlantic Canada	ST-JOSEPH-DE-LA-RIVE	1244	47.45	-70.37	2100	 50	 30	 19
Atlantic Canada	RIVIERE-DU-LOUP	1284	47.85	-69.57	2100	 58	 40	 28
Atlantic Canada	NORTH SYDNEY	1299	46.22	-60.25	2100	 98	 77	 65
Atlantic Canada	ARGENTIA	1321	47.30	-53.98	2100	 79	 59	 47
Atlantic Canada	SEPT-ILES	1322	50.20	-66.40	2100	 43	 25	 15
Atlantic Canada	SHEDIAC BAY	1326	46.25	-64.53	2100	 88	 68	 56
Atlantic Canada	RUSTICO	1330	46.47	-63.28	2100	 92	 72	 59
Atlantic Canada	LOWER ESCUMINAC	1349	47.08	-64.88	2100	 84	 65	 52
Atlantic Canada	PORT-ALFRED	1392	48.33	-70.87	2100	 47	 NaN	 NaN
Atlantic Canada	RIMOUSKI	1597	48.48	-68.52	2100	 57	 38	 26
Atlantic Canada	BECANCOUR	1798	46.40	-72.38	2100	 60	 46	 35